File Name,BldgLoc,BldgType,Story,BldgHVAC,BldgVint,TechGroup,TechType,TechID,Value/Program Version and Build (),Value/Weather File (),Area/Conditioned Total (m2),Electricity Intensity/HVAC (kWh/m2),Natural Gas Intensity/HVAC (kWh/m2),Electricity/Heating (kWh),Electricity/Cooling (kWh),Electricity/Interior Lighting (kWh),Electricity/Exterior Lighting (kWh),Electricity/Interior Equipment (kWh),Electricity/Exterior Equipment (kWh),Electricity/Fans (kWh),Electricity/Pumps (kWh),Electricity/Heat Rejection (kWh),Electricity/Humidification (kWh),Electricity/Heat Recovery (kWh),Electricity/Water Systems (kWh),Electricity/Refrigeration (kWh),Electricity/Generators (kWh),Natural Gas/Heating (kWh),Natural Gas/Cooling (kWh),Natural Gas/Interior Lighting (kWh),Natural Gas/Exterior Lighting (kWh),Natural Gas/Interior Equipment (kWh),Natural Gas/Exterior Equipment (kWh),Natural Gas/Fans (kWh),Natural Gas/Pumps (kWh),Natural Gas/Heat Rejection (kWh),Natural Gas/Humidification (kWh),Natural Gas/Heat Recovery (kWh),Natural Gas/Water Systems (kWh),Natural Gas/Refrigeration (kWh),Natural Gas/Generators (kWh),Electricity:Facility [J](Hourly),Environment:Site Outdoor Air Drybulb Temperature [C](Hourly)
SWCR007-05 Float Temp Ctrl_Ex/runs/CZ13/Gro&0&cDXGF&Ex&Ref_Storage__RefControl/NE-Ref_Storage-RefControl-FixSucTemp-AirCool-VSDFan/instance-out.sql,CZ13,Gro,0,cDXGF,Ex,Ref_Storage,RefControl,NE-Ref_Storage-RefControl-FixSucTemp-AirCool-VSDFan,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.05.03 23:33",CA_FRESNO-YOSEMITE-IAP - USA Custom-723890 WMO#=723890,4644.87,62.17,29.98,0.0,91415.83,249305.1,0.0,177647.52,0.0,197352.42,0.0,0.0,0.0,0.0,0.0,1345490.03,0.0,82069.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57190.41,0.0,0.0,1421781696.9834523,38.405
SWCR007-05 Float Temp Ctrl_Ex/runs/CZ13/Gro&0&cDXGF&Ex&Ref_Storage__RefControl/NE-Ref_Storage-RefControl-FltSucTemp-EvapCool/instance-out.sql,CZ13,Gro,0,cDXGF,Ex,Ref_Storage,RefControl,NE-Ref_Storage-RefControl-FltSucTemp-EvapCool,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.05.03 23:34",CA_FRESNO-YOSEMITE-IAP - USA Custom-723890 WMO#=723890,4644.87,62.17,29.98,0.0,91415.83,249305.1,0.0,177647.52,0.0,197352.42,0.0,0.0,0.0,0.0,0.0,363619.71,0.0,82069.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57190.41,0.0,0.0,784573882.2846655,38.405
SWCR007-05 Float Temp Ctrl_Ex/runs/CZ13/Gro&0&cDXGF&Ex&Ref_Storage__RefControl/NE-Ref_Storage-RefControl-FltSucTemp-AirCool-VSDFan/instance-out.sql,CZ13,Gro,0,cDXGF,Ex,Ref_Storage,RefControl,NE-Ref_Storage-RefControl-FltSucTemp-AirCool-VSDFan,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.05.03 23:33",CA_FRESNO-YOSEMITE-IAP - USA Custom-723890 WMO#=723890,4644.87,62.17,29.98,0.0,91415.83,249305.1,0.0,177647.52,0.0,197352.42,0.0,0.0,0.0,0.0,0.0,1275353.93,0.0,82069.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57190.41,0.0,0.0,1456027685.0119767,38.405
SWCR007-05 Float Temp Ctrl_Ex/runs/CZ13/Gro&0&cDXGF&Ex&Ref_Storage__RefControl/NE-Ref_Storage-RefControl-FltSucTemp-AirCool/instance-out.sql,CZ13,Gro,0,cDXGF,Ex,Ref_Storage,RefControl,NE-Ref_Storage-RefControl-FltSucTemp-AirCool,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.05.03 23:33",CA_FRESNO-YOSEMITE-IAP - USA Custom-723890 WMO#=723890,4644.87,62.17,29.98,0.0,91415.83,249305.1,0.0,177647.52,0.0,197352.42,0.0,0.0,0.0,0.0,0.0,1278849.95,0.0,82069.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57190.41,0.0,0.0,1456027685.0119767,38.405
SWCR007-05 Float Temp Ctrl_Ex/runs/CZ14/Gro&0&cDXGF&Ex&Ref_Storage__RefControl/NE-Ref_Storage-RefControl-FixSucTemp-AirCool-VSDFan/instance-out.sql,CZ14,Gro,0,cDXGF,Ex,Ref_Storage,RefControl,NE-Ref_Storage-RefControl-FixSucTemp-AirCool-VSDFan,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.05.03 23:35",CA_DAGGETT-BARSTOW-DAGGE - USA Custom-723815 WMO#=723815,4644.87,69.56,22.97,0.0,121141.13,249305.1,0.0,177647.52,0.0,201955.38,0.0,0.0,0.0,0.0,0.0,1454198.8,0.0,52439.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54275.79,0.0,0.0,1486903435.6268816,43.19583333333333
SWCR007-05 Float Temp Ctrl_Ex/runs/CZ14/Gro&0&cDXGF&Ex&Ref_Storage__RefControl/NE-Ref_Storage-RefControl-FixSucTemp-EvapCool-VSDFan/instance-out.sql,CZ14,Gro,0,cDXGF,Ex,Ref_Storage,RefControl,NE-Ref_Storage-RefControl-FixSucTemp-EvapCool-VSDFan,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.05.03 23:30",CA_DAGGETT-BARSTOW-DAGGE - USA Custom-723815 WMO#=723815,4644.87,69.56,22.97,0.0,121141.13,249305.1,0.0,177647.52,0.0,201955.38,0.0,0.0,0.0,0.0,0.0,352898.81,0.0,52439.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54275.79,0.0,0.0,837115505.2862307,43.19583333333333
SWCR007-05 Float Temp Ctrl_Ex/runs/CZ14/Gro&0&cDXGF&Ex&Ref_Storage__RefControl/NE-Ref_Storage-RefControl-FixSucTemp-EvapCool/instance-out.sql,CZ14,Gro,0,cDXGF,Ex,Ref_Storage,RefControl,NE-Ref_Storage-RefControl-FixSucTemp-EvapCool,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.05.03 23:33",CA_DAGGETT-BARSTOW-DAGGE - USA Custom-723815 WMO#=723815,4644.87,69.56,22.97,0.0,121141.13,249305.1,0.0,177647.52,0.0,201955.38,0.0,0.0,0.0,0.0,0.0,362417.13,0.0,52439.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54275.79,0.0,0.0,842163986.5601969,43.19583333333333
SWCR007-05 Float Temp Ctrl_Ex/runs/CZ14/Gro&0&cDXGF&Ex&Ref_Storage__RefControl/NE-Ref_Storage-RefControl-FixSucTemp-AirCool/instance-out.sql,CZ14,Gro,0,cDXGF,Ex,Ref_Storage,RefControl,NE-Ref_Storage-RefControl-FixSucTemp-AirCool,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.05.03 23:35",CA_DAGGETT-BARSTOW-DAGGE - USA Custom-723815 WMO#=723815,4644.87,69.56,22.97,0.0,121141.13,249305.1,0.0,177647.52,0.0,201955.38,0.0,0.0,0.0,0.0,0.0,1456604.33,0.0,52439.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54275.79,0.0,0.0,1486903435.6268816,43.19583333333333
SWCR007-05 Float Temp Ctrl_Ex/runs/CZ15/Gro&0&cDXGF&Ex&Ref_Storage__RefControl/NE-Ref_Storage-RefControl-FltSucTemp-AirCool/instance-out.sql,CZ15,Gro,0,cDXGF,Ex,Ref_Storage,RefControl,NE-Ref_Storage-RefControl-FltSucTemp-AirCool,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.05.03 23:29",CA_EL-CENTRO-NAF - USA Custom-722810 WMO#=722810,4644.87,74.75,13.94,0.0,174605.3,249305.1,0.0,177647.52,0.0,172592.31,0.0,0.0,0.0,0.0,0.0,1555809.05,0.0,16488.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48251.97,0.0,0.0,1515667434.2459629,41.99791666666667
SWCR007-05 Float Temp Ctrl_Ex/runs/CZ15/Gro&0&cDXGF&Ex&Ref_Storage__RefControl/NE-Ref_Storage-RefControl-FixSucTemp-AirCool-VSDFan/instance-out.sql,CZ15,Gro,0,cDXGF,Ex,Ref_Storage,RefControl,NE-Ref_Storage-RefControl-FixSucTemp-AirCool-VSDFan,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.05.03 23:25",CA_EL-CENTRO-NAF - USA Custom-722810 WMO#=722810,4644.87,74.75,13.94,0.0,174605.3,249305.1,0.0,177647.52,0.0,172592.31,0.0,0.0,0.0,0.0,0.0,1587840.9,0.0,16488.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48251.97,0.0,0.0,1483058234.7133307,41.99791666666667
